Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
423,Scissors (harder alternative) - pilates,Leg scissor on your back (harder alternative),Strength,A,To help improve core strength,Nil,60 seconds,"1) Lie flat on your back with both your knees bent up with your feet flat on the ground  
2) Leg muscles relaxed 
3) Find neutral spine* 
4)Engage the pelvic stabilisers by drawing your navel in and up into your spine like an internal 'J'. 5) Lengthen your neck away from your tailbone 
6)Breathe in to prepare 
7) Breathe out and raise your right leg up so your hip and knee are at 90 degrees ( foot parallel line with the knee) 
8) Breathe in then raise the other leg to join the first leg
9)Make sure the spine stays in neutral*
10) As you breathe out lower your right foot to the floor and breathe in and raise it back up 
11)As you raise your right foot back up, lower your left foot at the same time 
12)This sequence creates a scissor like movement (knees stay bent at 90 degrees)
13) Repeat 5-10 times.14) Progress to the advanced scissor exercise when this becomes easy. (*See related exercises)
","401, 402"
423a,Scissors (advanced) - pilates,Leg scissor on your back (advanced),Strength,A,To help improve core strength,Nil,60 seconds,"1) Lie flat on your back with both your knees bent up with your feet flat on the ground  
2) Leg muscles relaxed 
3) Find neutral spine* 
4)Engage the pelvic stabilisers by drawing your navel in and up into your spine like an internal 'J'. 5) Lengthen your neck away from your tailbone 
6)Breathe in to prepare 
7) Breathe out and raise your right leg up so your knee is straight
8) Breathe in then raise the other leg to join the first leg
9)Make sure the spine stays in neutral*
10) As you breathe out lower your right leg to the floor and breathe in and raise it back up 
11)As you raise your right leg back up, lower your left leg at the same time 
12)This sequence creates a scissor like movement (knees stay bent at 90 degrees)
13) Repeat 5-10 times. (*See related exercises)","401, 402"
424,Side bend - pilates,Sidelying torso lift,Strength,I,To help improve core strength,Nil,90 seconds,"1)Lie on your right side and rest your body on your elbow so that your elbow is directly under your shoulder 
2) Have both your knees bent and stack the knees and feet on top of each other 
3) Concentrate on drawing the shoulders back and down 
4)Have your left arm resting on the top of your left thigh 
5)Tighten your core* muscles and take a breath in to prepare 
6)As you breathe out float your hips up away from the floor, lifting your body up as one unit 
7) Breathe in as you lengthen towards the top of the position 
8) Breathe out as you return back to the start position keeping the movement controlled so that your hips softly touch the floor 
9)Repeat the above movement again but this time as you lift your hips up off the floor stretch your left arm up over your head reaching towards the ceiling 
10) Repeat this 5-10 times. 11) Repeat other side.(*See related exercises)
","401, 402"
425,Push up on knees - pilates,Push up on knees,Strength,I,"To help improve core, shoulder and chest strength",Nil,60 seconds,"1) Get into a position on all 4’s on the floor 
2) Make sure your knees and feet are hip width and in line with your hands 
3) Hands should be directly under the shoulder joints and knees under the hips (box shape formed between hands and knees) 
4) Make sure to draw the shoulders back and down 
5) Keeping the spine neutral* breathe in and lower your body towards the floor 
6) Go as low as possible without losing the correct body alignment on a breath in 
7) On the breath out return to the box position 
8) Repeat 5-10 times. (*See related exercises)
","401, 402"
426,Shoulder bridge - pilates,Shoulder bridge on your back,Mobilisation,I,To improve back mobility,Nil,60 seconds,"1)Lie on your back with legs and feet hip width and feet flat
2) Find neutral spine*
3) Engage the pelvic stabilisers by drawing your navel into your spine like an internal ‘J’ 
4) Lengthen your neck away from your tailbone 
5) Breathe in to prepare 
6) As you breathe out, tilt your pelvis off the floor (contract your glutes) and imprint your lower spine on the mat 
7) Imprint the spine, vertebra by vertebra one by one on the mat starting with the lower spine, continue to lift through the middle spine and up to the shoulder blades 
8) Your hips and shoulders should create a ski slope position 
9) Breathe in at the top of the movement 
10) Breathe out as you slowly lower the spine back to the mat. 11) Repeat 5-8 times
12) When this gets easy you can introduce arm movement: 
• Once in the ski slope position, breathe in and float your arms up over your head 
• Slowly lower the spine back to the floor as you breathe out and return your arms at the same time. 13) Progress to the advanced bridge with leg movement when this becomes easy. (*See related exercises)
","401, 402"
426a,Shoulder bridge with arm movement (intermediate) - pilates,Shoulder bridge with arm movement,Mobilisation,I/A,To improve back mobility,Nil,60 seconds,"1)Lie on your back with legs and feet hip width and feet flat
2) Find neutral spine *
3) Engage the pelvic stabilisers by drawing your navel into your spine like an internal ‘J’ 
4) Lengthen your neck away from your tailbone 
5) Breathe in to prepare 
6) As you breathe out, tilt your pelvis off the floor (contract your glutes) and imprint your lower spine on the mat 
7) Imprint the spine, vertebra by vertebra one by one on the mat starting with the lower spine, continue to lift through the middle spine and up to the shoulder blades. 8) When you get to the upper back region slowly float your arms up over your head until you reach the ski slope position. 9) Breathe in at the top of the movement. 10) Slowly lower the spine back to the floor as you breathe out and return your arms at the same time .
11) Repeat 5-8 times. 12) Progress to the advanced bridge with leg movement when this becomes easy.
(*See related exercises)","401, 402"
427,Shoulder bridge (advanced) - pilates,Shoulder bridge on your back (advanced),Mobilisation,A,To improve core and back strength,Nil,90 seconds,"1)Lie on your back with legs and feet hip width and feet flat, arms by your side:
2) Find neutral spine* 
3) Engage the pelvic stabilisers by drawing your navel into your spine like an internal ‘J’ 
4) Lengthen your neck away from your tailbone 
5) Breathe in to prepare 
6) As you breathe out, tilt your pelvis off the floor (contract your glutes) and imprint your lower spine on the mat (move each vertebra one by one)
7) Imprint the spine, vertebra by vertebra one by one on the mat starting with the lower spine, continue to lift through the middle spine and up to the shoulder blades 
8) Your hips and shoulders should create a ski slope position 
9) Breathe in at the top of the movement 
10) Breathe out as you unfold your right leg and lengthen it towards the ceiling 
11) Breathe in and lower the leg back down 
12) Repeat on the other leg 
13) Lower back down to neutral* 
14) Repeat 5 -10 times as you slowly lower the spine back to the mat. (*See related exercises)","401, 402"
428,Hip rolls - pilates,Hip rolls side to side,Mobilisation,B,To improve back mobility,Nil,60 seconds,"1) Lie on your back with your knees bent up, feet flat on the floor and arms at shoulder length out to the side.
2) Draw your shoulder blades down the back of the ribcage, turn your head to the right as far as comfortable
3) Breathe in and as your breathe out rotate your legs to the left (opposite to your head). 4) Breathe in and rotate your legs back to the midline and also your head at the same time. 5) Breathe out rotating your head to the left and legs to the right. You rotate as far as comfortable and there should be no pain. 6) Repeat 6-10 times. 7) Progress to the more advanced hip rolls when this becomes easy.",
429,Hip rolls (advanced) - pilates,Hip rolls side to side (advanced),Mobilisation,I,To improve back mobility,Nil,60 seconds,"1) Lie on your back with your knees bent up, feet flat on the floor and arms at shoulder length out to the side.
2) Draw your shoulder blades down the back of the ribcage and lift feet up off the ground so that your hips are almost 90 degrees, turn your head to the right as far as comfortable
3) Breathe in and as your breathe out rotate your legs to the left (opposite to your head). 4) Breathe in and rotate your legs back to the midline and also your head at the same time. 5) Breathe out rotating your head to the left and legs to the right. You rotate as far as comfortable and there should be no pain. 6) Repeat 6-10 times.",
430,Activating pelvic floor seated 1),Pelvic floor activation,Strength,B,"To help improve core strength, incontinence, pregnancy",Swiss Ball,30 seconds,"Sitting in a chair:  1) Imagine the pelvic floor first, it runs from the front of the pelvis (pubis) through to the coccyx (bottom of the tailbone) and also attaches to the pelvis on each side (it functions like a hammock). 2) Find neutral spine*. 3) Your pelvic floor contracts to stop you passing urine and also to stop you passing wind, gently contract these muscles as if you were stopping yourself from doing both these things and then relax. 4) Breathe in and as you breathe out using the analogy of a lift,  draw the pelvic floor from the starting ground floor all the way up to the 10th floor and release. 5) Breathe in again, and as you breathe out draw the pelvic floor up to the 5th floor and release. 6) Breathe in again, and as you breathe out draw the pelvic floor up to the 3rd floor and release. Repeat 10 times. (*See related exercises)","401, 402"
431,Pelvic floor strengthening 2),Pelvic floor activation,Strength,B,"To help improve core strength, incontinence, pregnancy",Swiss Ball,30 seconds,1) Activate the pelvic floor by drawing up as if it were a lift (see pelvic floor 1). 2) Hold as strongly as you can for 20-30 seconds or for as long as possible. 3) Relax. 4) Repeat 3 times.,
432,Pelvic floor strengthening 3),Pelvic floor activation,Strength,B,"To help improve core strength, incontinence, pregnancy",Swiss Ball,90 seconds,1) Activate the pelvic floor by drawing up as if it were a lift (see pelvic floor 1). 2) Hold for 5 seconds 3) Relax. 4) Repeat 15 times.,
433,Book openings - pilates,Mid and upper back mobilisation,Mobilisation,B,To help improve back mobility,Nil,120 seconds,"1)Lie on your right side and with your right arm out straight shoulder height and your left arm out straight together with your right.
2) Have both your knees bent and stack the knees and feet on top of each other 
3) Concentrate on drawing the shoulders back and down. 
4)Tighten your core* muscles and take a breath in to prepare.
5)As you breathe out lift your left arm up and rotate your body over to the left. 6) Try to keep your pelvis as stable as possible. 6) Reach over as far as your can while keeping your pelvis stable.
7) Breathe in at the end position.
8) Breathe out as you return back to the start position keeping the movement controlled 
9)Repeat the above movement again  5-10 times. 10) Repeat the other side. (*See related exercises)","401, 402"
434,Dips with leg curl on a Swiss Ball,Dips with leg curl on a Swiss Ball,Strength / Swiss Ball,A,To help improve arm and leg strength,Swiss Ball,90 seconds,1) Sitting on a sturdy chair which is leaning against a wall for support if needed. 2) Place a swiss ball under your heels with legs out straight. 3) Straighten out your arms behind you on the edge of the chair with your fingers facing forward. 3) Draw your shoulder blades down the back of your ribcage. 4) Bring your bottom off the chair and then bend at your elbows dropping your bottom off the edge of the chair to the floor. 5) Straighten you arms again. 6) Bend in your knees so the swiss ball comes in towards you and then straighten back out again. 7) Repeat numbers 4-6 x15.
