Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Calf stretch,Calf (lower leg) stretch using foam roller,Stretch / Foam roller,I,"Tight calves, runners, walkers",Foam roller,60 seconds,"1) Sitting with the foam roller under both your calves. 2) Using both arms stabilising behind you on the ground, lift your hips up increasing the weight / pressure through the calves. 3) Using your arm and shoulder strength roll your calves up and down the foam roller. 4) Repeat 10-15 times or until the tenderness or tightness starts to reduce (30-60 seconds).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hamstring stretch,Hamstring (back of thigh) stretch using foam roller,Stretch / Foam roller,I,"Tight hamstrings, runners, walkers",Foam roller,60 seconds,"1) Sitting with the foam roller under both your hamstrings. 2) Using both arms stabilising behind you on the ground, lift your hips up increasing the weight / pressure through the hamstrings. 3) Using your arm and shoulder strength roll your hamstrings up and down the foam roller. 4) Repeat 10-15 times or until the tenderness or tightness starts to reduce (30-60 seconds)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,ITB stretch (band),ITB (outer thigh) stretch,Stretch / Foam roller,I,"Tight ITB, knee pain due to tight ITB, runners, walkers",Foam roller,60 seconds,1) Lie with your left hip on the foam roller and your left leg out straight. 2) Your arms are straight directly under both your shoulders supporting your body weight. 3) Place your right leg over your left bent and foot contacting the ground and stabilising. 4) Roll your left outer leg (ITB) up and down the foam roller adjusting the amount of weight you put through depending on how tender the area is. 5) Try to repeat 10-15 times depending on tenderness (30-60 seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Knee extensions seated,Quadriceps strengthening (frontal thigh muscles),Swiss ball / Strength,B,"To strengthen quads, walkers, runners, improve core strength",Swiss Ball,60 seconds,1) Sitting tall on a Swiss ball with both feet planted firmly on the ground. 2) Draw your shoulders down and activate core*. 3) Straighten out your right leg feeling your quads tighten / activate (muscles at the front of your leg) and then return to the start position. 4) Repeat 10-15 times. 5) Repeat other side. (*See related exercises),"401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Knee flexions lying prone,Hamstring strengthening (back thigh muscles) using a Swiss Ball,Strength / Swiss ball,B,"To strengthen the hamstrings, improving knee mobility after injury",Swiss Ball,60 seconds,1) Lying face down on a Swiss ball with both hands on the floor and feet  contacting the floor. 2)Try to engage your core* and find neutral spine* (not allowing your lower back to dip). 3) Flex your right leg (bending at the knee) and straighten out again. 4) Repeat 10-15 times. 5) Repeat on the other leg. (*See 'neutral spine and core' under programs),"401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Beach walking,Calf raises using a Swiss Ball,Strength / Swiss ball,B,"To strengthen the calves, walkers, runners",Swiss Ball,90 seconds,1) Standing against a wall with the Swiss ball behind your back and leaning back slightly into the ball. 2) Draw your shoulders down and engage your core*. 3) Lift up onto both tippy toes and then slowly lower back down. 4) Repeat 10-15 times. 5) Rest for 30 seconds and repeat. (*See related exercises),"401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Squats stepping to side,Squats stepping to the side,Strength,I,"To strengthen hips / legs, runners, walkers, other sports",Nil,2 minutes,"1) Standing tall, core* engaged, shoulders draw down, hands on hips for balance if needed. 2) Take a step to the side and squat making sure your knee tracks directly over your ankle. 3) Bring the leg back to the starting position. 4) Repeat 10-15 times. 5) Repeat other leg. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Single leg squat ,Single leg squat,Strength,A,"To strengthen hips/ legs, improve balance and proprioception, runners,  walkers, other sports.",Nil,60 seconds,"1) Standing tall, core* engaged, shoulders draw down, hands on hips for balance if needed. 2)Lift one leg off the floor bending at knee. 3) Slowly lower down bending your other knee and then slowly straighten up again trying to track the knee directly over the ankle. 4) Repeat 10 times each leg. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Step ups ,Step ups  ,Strength,I,"To strengthen hips/ legs, improve balance and proprioception, runners,  walkers, other sports.",,2 minutes,"1)  Place a sturdy chair against a wall. 2) Stand in front of the chair, engage your core* and draw your shoulders down. 3) Step up onto the chair with your left leg firmly planting the foot and then follow with your right leg stepping onto the chair. 4) Lower you left leg down to the ground and follow with the right leg. 5) Repeat 10-15 times each side. 6) Concentrate on stabilising your hips so that you don't sway too much to either side with the movement. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319a,Step ups advanced,Step ups advanced,Strength,A,"To strengthen hips/ legs, improve balance and proprioception, runners,  walkers, other sports.",,2 minutes,"1)  Place a sturdy chair against a wall. 2) Stand in front of the chair, engage your core* and draw your shoulders down. 3) Step up onto the chair with your right leg firmly planting the foot and then follow with your left leg bringing your left knee up. 4) Lower you left leg down to the ground gently and then bring it straight back up again - the movement should be fluid. 5) Repeat 10-15 times each side. 6) Concentrate on stabilising your hips so that you don't sway too much to either side with the movement. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Calf stretch on the floor,Calf stretch on the floor,Stretch,B,"Tight calves, runners, walkers",Nil,90 seconds,"1) Come onto all fours on the ground with hands flat on the floor under your shoulders. 2) Straighten both legs so that they are straight out behind you. 2) Bend one knee in at the same time pushing the other foot flat to the ground increasing and feeling the stretch in that leg. 3) Hold for 20-30 seconds. 4) Repeat the for the other leg. 5) Then slowly repeat the action of flexing (bending) one knee, then the other in a pedal like motion for 10-15 repetitions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Quadriceps lying down,Quads (front thigh muscles) strengthening,Strength / Foam Roller,B,"To strengthen quads, walkers, runners, after knee injury",Foam roller,60 seconds,"1)Place a foam roller or larger rolled up towel under knee 2) Activate core* and make sure pelvis is stable.
3)Slowly straighten knee and feel the quadriceps contracting
4)Hold for 5 seconds and then slowly lower back down
5)Repeat 10 times. (*See related exercises)
","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Knee external rotation,Knee rotation outwards ,Strength / Mobilisation,B,"Post knee operation, knee injury",,90 seconds,"1) Sit on a chair, keep your foot flat on the ground with the toes directly in front of the heel. 2) Have the outside of the base of the fifth toe resting against something that will not move e.g.. the leg of a table. 3) Without lifting the foot too far off the ground, push the foot out against the leg of the table .4) Hold for five seconds. Relax. 5) Repeat 10-15 times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Posterior tibial neural glide,Knee rotation inwards,Strength / Mobilisation,B,"Post knee operation, knee injury",,90 seconds,"1) Sit on a chair, keep your foot flat on the ground with the toes directly in front of the heel. 2) Have the base of the big toe resting against the leg of a table. 3)Push the foot in against the table.  (as the knee gets stronger you can increase the angle of the foot to the leg). 4) Hold for five seconds. Relax. 5) Repeat 10-15 times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Neural stretch hip,Knee slides ,Mobilisation,B,"Post knee operation, knee injury, knee stiffness or pain",Nil,45 seconds,"1) Sitting down on the ground with both knees out straight and hands resting for support just behind you or lying down. 2) Keeping your foot on the ground, slide your heel in towards your buttocks slowly and then straighten out again. 3) Repeat 10 times. 4) Repeat other leg if required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,VMO activation seated,VMO - inner quadriceps strengthening (seated),Strength,B,"VMO weakness, knee pain / instability",,60 seconds,"1) Sitting tall in a chair with both hips and knees flexed at 90 degrees and feet flat on the floor. 2) Place your fingers on the inner side of your knee (inner quadriceps). 3) Try to contract your quadriceps by pulling your knee cap up and feeling the muscle under your fingers contract, the sensation can be subtle and may take some practising. 4) Hold for 3 seconds and release. 5) Repeat 10-20 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,VMO strengthening standing small range,VMO - inner quadriceps strengthening (standing),Strength,I,"VMO weakness, knee pain / instability",Nil,60 seconds,"1) Standing tall with feet hip width apart. 2) Step your right foot out in front of your left (not wide just a comfortable step) with your toes slightly pointing out to the side at an angle. 3) Bend slightly at the knee and then extend up again concentrating on contracting the quadriceps and in particular the muscle fibres on the inside of the thigh just above the knee. 4) Make sure your knee is tracking directly over your ankle. 5) If necessary to start, place your fingers on the inside of your knee to feel the muscles contract. 6) Repeat 10-15 times and repeat other side if necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,VMO strengthening step down and up,VMO - inner quadriceps strengthening (on a step),Strength,I,"VMO weakness, knee pain / instability",,60 seconds,"1) Standing on the edge of a step or ledge with your left foot turned slightly out at an angle. 2) Step your right foot down slightly touching gently off the bottom and step the leg back up again. 3) You are working the left VMO, make sure you can feel the muscles on the inner thigh above the knee contracting as you step down and up again. 4) Repeat 10-15 times and other side if necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Popliteus stretch,Small muscle behind the knee,Stretch,B,"Runners, walkers, cyclists","It is difficult to isolate a stretch to the popliteus but stretching the hamstrings will help to stretch the popliteus. Responds well to direct manual therapy by a qualified practitioner. See Stretches: 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

