Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
212,Wrist circumductions,Wrist circles,Mobilisation,B,"Carpal tunnel syndrome, stiff wrists, computer work",Nil,30 seconds,Sitting or standing: 1) Bend your elbow to 90 degrees. 2) Rotate your wrist to the right in continuous circles  as big as possible 10 times trying to keep your shoulder and elbow stable. 3) Repeat rotating to the left 10 times. 4) Repeat on the other side if needed. ,
213,Ball squeeze,Ball squeeze,Strength / Strength ball,B,To increase hand strength after injury or for specific sports,Hand exerciser,60 seconds,Sitting: 1) Bend your elbow to 90 degrees and hold the strength ball in your hand. 2) Squeeze the ball as hard as you can and release. 3) Repeat 10 times. 4) Squeeze the ball as hard as you can and hold for 10 seconds (or less depending on strength). 5) Repeat for other hand.,
214,Forearm flexors,Forearm strength (front),Strength,B,"Golfer's elbow, forearm weakness, post surgery or injury",Nil,30 seconds,"To strengthen the left side be seated or standing: 1) Bend your left arm to about 90 degrees  with your palm up and with your right hand place it at the palm of your hand. 2) Try to push your left hand up into your right, resisting this movement with your right hand. 3) Push for 3-5 seconds and repeat 5 times.",
215,Forearm extensors,Forearm strength (back),Strength,B,"Tennis elbow, forearm weakness, post surgery or injury",Nil,30 seconds,"To strengthen the left side be seated or standing: 1) Bend your left arm to about 90 degrees  with your palm facing down and with your right hand place it on the back of your hand. 2) Try to push your left hand up into your right, resisting this movement with your right hand. 3) Push for 3-5 seconds and repeat 5 times.",
216,Forearm flexors kneeling,Forearm stretch kneeling,Stretch,B,"Golfer's elbow, tight forearms",Nil,30 seconds,Kneeling on the ground on all fours: 1) Place both arms out in front of you with palms on the ground and fingers pointing towards you. 2) Lean back on your legs keeping your palms and fingers in the same position as they were until you feel a good stretch through your forearms. 3) Hold for 20-30 seconds.,
217,Forearm flexors resistance band,Forearm strength (front) using Resistance Band,Strength / Resistance Band,I,"To increase strength tone, post injury",Resistance Band,45 seconds,1) Stand firmly on one end of resistance band (or tie one end around a table leg or in a door). 2) Hold onto the other end with your hand palm up and bend your elbow to 90 degrees. 3) Bend your wrist so you are pulling your hand in towards you (make sure there is enough resistance in the band so you feeling your forearm muscles working). 4) Repeat 10 times.,
218,Forearm extensors resistance band,Forearm strength (back) using Resistance Band,Strength / Resistance Band,I,"To increase strength tone, post injury",Resistance Band,45 seconds,"1) Tie one end of resistance band on table leg. 2) Sitting, hold onto the other end with your hand palm down and bend your elbow to 90 degrees. 3) Bend your wrist so you are pulling your hand in towards you (make sure there is enough resistance in the band so you feeling your forearm muscles working). 4) Repeat 10 times.",
219,Forearm pronators resistance band,Forearm strength rotating inwards using Resistance Band,Strength / Resistance Band,I,"To increase strength tone, post injury",Resistance Band,45 seconds,"1) Tie one end of resistance band on table leg. 2) Sitting, hold onto the other end with your right hand palm up and bend your elbow to 90 degrees. 3) Rotate your forearm so that you are turning your palm down to the floor (make sure there is enough resistance in the band so you feeling your forearm muscles working). 4) Repeat 10 times.",
220,Forearm supinators resistance band,Forearm strength rotating outwards using Resistance Band,Strength / Resistance Band,I,"To increase strength tone, post injury",Resistance Band,45 seconds,"1) Tie one end of resistance band on table leg. 2) Sitting, hold onto the other end with your right hand palm down and bend your elbow to 90 degrees. 3) Rotate your arm so you are turning your palm up to the ceiling (make sure there is enough resistance in the band so you feeling your forearm muscles working). 4) Repeat 10 times.",
221,Forearm supinators,Forearm strength rotating outwards,Strength,B,"To increase strength tone, post injury",Nil,30 seconds,"To strengthen the right side be seated or standing: 1) Bend your right arm to about 90 degrees with your palm down and with your left hand place it holding your right wrist. 2) Try to rotate your right forearm to the right (attempting to face your palm up, resisting this movement with your left hand. 3) Push for 3-5 seconds and repeat 5 times.",
222,Forearm pronators,Forearm strength rotating inwards,Strength,B,"To increase strength tone, post injury",Nil,30 seconds,"To strengthen the left side be seated or standing: 1) Bend your left arm to about 90 degrees with your palm up and with your right hand place it holding your left wrist. 2) Try to rotate your left forearm to the right (attempting to face your palm down), resisting this movement with your right hand. 3) Push for 3-5 seconds and repeat 5 times.",
223,Ulnar nerve mobilisation,Forearm nerve stretch,Mobilisation,I,"Post surgery, nerve irritation, forearm flexor tightness",Nil,30 seconds,Sitting or standing: 1) Hold your elbow out straight and curl your fingers and wrist in towards you. 2) Extend them back out again. 3) Bend in your elbow. 4) Repeat 3 times.,
224,Dips - Triceps strengthening,Dips for triceps,Strength,I,To increase tone and strength in triceps,,45 seconds,1)Stand in front of chair or step facing away. 2) Place your hands on the step or chair so that they are in line with your shoulders behind you. 3) Draw your shoulders down and activate core*. 4) Have knees bent with feet flat on the ground 5) Lower your body down bending at your elbows. 6) Straighten your elbows up again. 7) Repeat 10-15 times. (*See related exercises),"401, 402"
224a,Dips - Triceps strengthening legs straight,Dips for triceps legs straight,Strength,A,To increase tone and strength in triceps,,45 seconds,1)Stand in front of chair or step facing away. 2) Place your hands on the step or chair so that they are in line with your shoulders behind you. 3) Draw your shoulders down and activate core*. 4) Have legs out straight. 5) Lower your body down bending at your elbows. 6) Straighten your elbows up again. 7) Repeat 10-15 times. (*See related exercises),"401, 402"
