Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Hip mobilisation standing,Hip mobility exercise (tree),Mobilisation,I,"Runners, walkers, repetitive injuries ankle, balance difficulty",Nil,20 seconds,"1) Standing tall, draw your shoulder blades down and engage your core*. 2) Bring your right foot up and place it either on the inside of your left calf or above your knee on the inside of your left thigh. 3) Make sure your right knee is out to the right. 4) Try to hold this position for 20 seconds or build up to this. 5) Repeat the other side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Hip mobilisation standing - advanced,Hip mobility exercise advanced,Mobilisation,A,"Runners, walkers, repetitive injuries ankle, balance difficulty",Nil,30 seconds,"1) Standing tall, draw your shoulder blades down and engage your core*. 2) Bring your right knee up to your chest and pull it gently in. 3) With your right hand supporting your right leg, rotate your hip out to the right as far as comfortable, feeling a stretch in the hip joint (this should not be painful). 4) Try to hold this position for 20 seconds or build up to this. 5) Repeat the other side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Rectus femoris (quadriceps) - standing,Front thigh stretch standing (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,"1) Standing tall, bend your right knee and reach behind with your right arm to hold your right foot. 2) Draw your shoulders down and find neutral spine* (do not tilt forward). 3) Gently pull your foot into your buttocks until you feel a stretch up the front of your right thigh. 4) Hold for 20-30 seconds. 5) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Rectus femoris (quadriceps) - kneeling,Front thigh stretch kneeling (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,"To stretch your right quad: 1) Kneel down on the ground placing a pillow under your right knee if required and lunge your left leg out in front so that your knee is at a right angle (hold onto a chair for support if needed). 2) Keep your back straight (neutral spine*) and do not twist to the side.3) Lunge forward on your back leg slightly and then tuck your tailbone under (curling your pubic bone up towards the ceiling) until you should feel a stretch up the front of your back leg (right), to increase the stretch you can hold onto your right foot. 4) Make sure your knee does not come over your ankle when you lunge forward. 5) Hold for 20-30 seconds and repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Rectus femoris (quadriceps) - sidelying,Front thigh stretch sidelying (quads),Stretch,B,"Runners, walkers, most sports",Nil,30 seconds,1) Lie on your right side with your head resting on your right arm and right knee bent for stability. 2) Bend your left knee and hold onto your left foot with your left hand. 3) Stabilise your pelvis (don't allow it to move forward) - all the movement should come from your leg. 4) Pull your left leg back until you feel a stretch up the front of the right thigh. 5) Hold for 20-30 seconds. 6) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Hip flexor stretch Swiss Ball,Front of hip stretch Swiss Ball (hip flexor),Stretch / Swiss Ball,I,"Runners, walkers, most sports, lower back pain",Swiss Ball,30 seconds,"1)Place a Swiss Ball next to a sturdy chair / table if needed. 2) Bring your left leg over the top of a Swiss Ball and your right leg behind you on the Swiss Ball (the Swiss Ball has to be small enough that both feet can contact the ground). 3) Hold onto the chair table, tilt your pelvis forward until you feel a stretch up the front of the right hip. 4) Hold for 20-30 seconds. 5) Repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Hip abductor strength,Outer hip strength,Strength / Resistance Band,I,"Runners, walkers, hip instability, core weakness",Resistance Band,4 minutes,"To strengthen your right side: 1) Tie a piece of resistance band to a sturdy table leg, and the other end to your right ankle. 2) Stand with your left side to the table leg and at a distance away to give appropriate resistance to the muscles of your outer hip / buttocks. 3) Draw your shoulders down and engage your core*. 4) Breathe in and as your breathe out, keeping your leg straight move it away from your body. 5) Breathe in and slowly return you leg back to the other leg. 6) Repeat 10-15 times. 7) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Hip adductor strength,Inner thigh strength,Strength / Resistance Band,I,"Hip instability, walkers, runners",Resistance Band,4 minutes,"To strengthen your left side: 1) Tie a piece of resistance band to a sturdy table leg, and the other end to your left ankle. 2) Stand with your left side to the table leg and at a distance away to give appropriate resistance to the muscles of your inner thigh and hip. 3) Draw your shoulders down and engage your core*. 4) Breathe in and as your breathe out, keeping your leg straight move it across your body to the right in front of your right leg. 5) Breathe in and slowly return you leg back. 6) Repeat 10-15 times. 7) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Hip extension strength,Buttock and hamstring strength,Strength / Resistance Band,I,"Runners, walkers, hip weakness",Resistance Band,4 minutes,"To strengthen your right side: 1) Tie a piece of resistance band to a sturdy table leg, and the other end to your right ankle. 2) Stand with your right leg directly in front of the table leg and at a distance away to give appropriate resistance to the muscles at the back of your hip and thigh. 3) Draw your shoulders down and engage your core*. 4) Breathe in and as your breathe out, keeping your leg straight extend it out behind you. 5) Breathe in and slowly return you leg back. 6) Repeat 10-15 times. 7) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Hip adductors seated,Inner thigh stretch seated,Stretch,B,"Runners, walkers, most sports",Nil,3 minutes,"1) Sit on the floor with knees apart and feet together. 2) Sit tall, drawing shoulder blades down and trying to keep your lumbar curve concave (don't round through your back). 3) Try to bring your feet in towards your groin to increase the stretch. 4) With your elbow resting on your knees gently push down to increase the stretch in your inner thighs and hold for 20 seconds. 5) Push your knees up into your elbows with equal resistance from your elbows for 3-5 seconds. 6) Repeat this 3 - 5 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Hip mobilisation supine,Hip mobility lying down,Mobilisation,B,"Runners, walkers, hip tightness, lower back pain",Nil,60 seconds,"1) Lie on your back with your legs out straight. 2) Engage your core*, bend your right knee up and gently but firmly pull it into your chest. 3) Clasping your hands around your knee gently roll your hip out to the right and then down and over to the left in and anti-clockwise movement - repeat 5 times. 4) Then rotate your hip in a clockwise movement repeating 5 times. 5) Repeat for the other hip. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Hip rotators using spiky ball,Hip release using spiky ball,Stretch / Spiky Ball,B,"Runners, walkers, most sports",Spiky ball,30 seconds,1) Sitting cross legged or legs out straight. 2) Place a spiky ball under your right buttock in a spot that feels tender/ tight. 3) Gently lower your buttock down over the spiky ball. 4) Use your body weight to control the amount of pressure the spiky ball exerts through your buttock. 5) Hold for 20-30 seconds and if too sore don't put as much weight through. 6) Repeat left side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Hip flexor stretch standing,Front of hip stretch standing (hip flexor),Stretch,B,"Runners, walkers, most sports, lower back pain",,30 seconds,1) Standing tall with feet hip width apart. 2) Step your left leg out in front. 3) Bend both your left and right knees and tilt your pubic bone / pelvis up to the ceiling. 4) Lunge forward slightly until you feel a stretch up the front of the right hip. 5) Hold for 20-30 seconds and repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,4 way hip /leg stretch,4 way hip / leg stretch,Stretch,B,"Runners, walkers, most sports",,30 seconds,"1) Kneel down on the ground placing a pillow under your right knee if required and lunge your left leg out in front so that your knee is at a right angle (hold onto a chair for support if needed). 2) Keep your back in neutral spine* and do not twist to the side.3) Lunge forward on your back leg, tucking your tailbone under (curling your pubic bone up towards the ceiling), you should feel a stretch up the front of your back leg (right). 4) Make sure your knee does not come over your ankle when you lunge forward. 5) Hold for 20-30 seconds. 6) Straighten out your left leg and keeping your lumbar curve (neutral spine*) lean over your left leg until you feel a stretch up the back of your left leg. 7) Hold for 20-30 seconds. 8) Keeping your left leg as it is, rotate your torso to the left and lean over the leg feeling a stretch up the outside of the back of the leg - hold for 20-30 seconds. 9) Come back up, turn your body as it is, around to the right so that the inside of your left leg is facing the floor and push your inner thigh into the floor feeling a stretch in the inner thigh - hold for 20-30 seconds. 10) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Squats,Squats,Strength,I,"Runners, walkers, most sports, knee weakness",Swiss Ball,60 seconds,"1) Standing tall with feet hip width apart. 2) Place the Swiss Ball behind you against a wall in the small of your lower back. 3) Draw your shoulders down, engage your core* and squat down as if you are going to sit down in a chair. 4) Your knees travel directly in line with your ankles. 5) Your arms can straighten out in front as you squat to help balance you.6) Repeat 10-15 times. (*See related exercises)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Barefoot squat,Barefoot squat,Strength / proprioception,I,"Runners, walkers, most sports, hip weakness",,60 seconds,"1) Standing tall with arms out front for balance and feet hip width or a little wider. 2) Try to concentrate on not leaning forward or back, weight should be through the mid to forefoot. 3) Squat down as far as you can, feet as flat as possible - you should feel no pain in hips, knees or ankles. 4) Repeat 10-15 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Hip / leg extensions using a Swiss Ball,Hip /leg strength using a Swiss Ball,Strength / Swiss Ball,I,"Hip instability / weakness, runners, walkers",Swiss Ball,2 minutes,"1) Lie on your back with a Swiss Ball under your bent knees and your heels resting on the top of the Swiss Ball, arms by your side. 2) Take a breath in and as you breathe out come up into a shoulder bridge. 2) Breathe in and as you breathe out extend your legs out straightening them from this position. 3) Breathe in and return your legs back to the starting position. 4) Staying up in the bridge repeat 6-10 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Lunges using a Swiss Ball,Lunges using a Swiss Ball,Strength / Swiss Ball,I,"Knee injury / instability, runners, walkers",Swiss Ball,60 seconds,1) Place a Swiss ball behind your lower back against a wall. 2) Step your right foot out in front of you maintaining pressure between your lower back and the Swiss Ball. 3) Draw your shoulders down and activate your core*. 4) Breathe in and as you breathe out lunge down keeping your knee in line with your ankle. 5) Straighten back up and repeat 10-15 times. 6) Repeat other side. (*See related exercises),"401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
