Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
61,Thoracic foam roller opening ribcage,Upper back and chest opening,Mobilisation / Foam roller,B,"Postural strain, rounded shoulders, desk work",Foam roller,60 seconds,"1) Sit on the edge of your foam roller and carefully lie back onto it so that your head and pelvis are on it. 2) Find neutral spine* and activate core*, draw shoulder blades down back of ribcage. 3) Bring your arms out to the side and allow your ribs to drop on either side of the foam roller. 4) Hold this position taking big deep breaths in and out for 30 seconds to 1 minute or as long as comfortable.  (*See related exercises)","401, 402"
62,Thoracic foam roller mobilising ribcage,Upper back spinal mobilising,Mobilisation / Foam roller,I,"Postural strain, rounded shoulders, desk work",Foam roller,30 seconds,"1)Start with the foam roller across ways, sit on the floor with the foam roller behind you. 2)Position the foam roller at the lower part of your thoracic spine (upper back - above your lower back), lift up your pelvis and then using your legs with feet firmly planted on the ground roll the foam roller up and down your spine. 3) Repeat up and down 4-5 times and repeat if necessary.",
63,Thoracic mobilisation over Swiss ball,Upper back and chest opening,Mobilisation / Swiss Ball,B,"Postural strain, rounded shoulders, desk work",Swiss Ball,60 seconds,1) Start by sitting on a Swiss ball 2) Activate your core muscles*and hold onto the ball while you slowly walk out your legs so your hips and knees are at right angles and you are resting your upper back and neck on the ball. 3) Bring your arms out to the side opening up your chest. 4) Make sure you keep your core muscles switched on and take 10-20 breaths in and out (this should be comfortable).  (*See related exercises),"401, 402"
64,Thoracic mobilisation over Swiss ball with rotation,Upper back mobilising with rotation,Mobilisation / Swiss Ball,I,"Postural strain, rounded shoulders, desk work",Swiss Ball,90 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core muscles* and hold onto the ball while you slowly walk out your legs so your hips and knees are at right angles and you are resting your upper back and neck on the ball. 3) Bring your arms out to the side opening up your chest. 4) Using your core to stabilise, bring your right hand across your body to meet you left by rotating through the thoracic spine (upper back). 5) Repeat on the other side 6-8 times each side.  (*See related exercises)","401, 402"
65,Threading the needle,Upper back mobilising on all fours,Mobilisation /Foam roller,B,Upper back stiffness,Foam roller,2 minutes,"1) Start on all fours, activate core*, find neutral spine* and have the foam roller to the side of your left hand.  2) Place the back of your right hand under your left arm and onto the foam roller. 3) Push your right arm through so that the foam roller moves further to the left and until you feel a stretch up the right side of your mid back. 4) Bring your arm back moving the foam roller back to the start position. 5) Repeat 6-8 times both sides.  (*See related exercises)","401, 402"
66,Prone butterflies,Upper back 'butterflies' on a ball,Strength  / Swiss Ball,I,"Postural strain, upper back weakness",Swiss Ball,45 seconds,"1) Lying on your stomach over a ball with knees on the floor, trying to keep head in line with your spine. 2) Extend arms out to the side so they are in line with your shoulders and drop towards the floor. 3) Bring them up towards the ceiling by squeezing your shoulder blades together. 4) Repeat 10 times.",
67,Prone scapular retraction,Shoulder blade squeeze on a ball,Strength  / Swiss Ball,I,"Postural strain, upper back weakness",Swiss Ball,45 seconds,"1) Lying on your stomach over a ball with knees on the floor, trying to keep head in line with your spine. 2) Make a loose fist with both hands starting with them resting on the floor. 3) Bend arms and lift up bringing your shoulder blades together and squeezing. 4) Repeat 10 times.",
68,Latissimus dorsi (ball),Side and back torso stretch on ball,Stretch / Swiss ball,I,Upper back tightness / strain,Swiss Ball,30 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Reach your left arm over the top of your head and with your other hand hold onto your left wrist to increase the stretch by pulling over to the right. 4) You should feel the stretch up the side of your ribcage. 5) Hold for 20-30 seconds then bring the arm across the front of the body pulling your wrist again and you will feel it further into your back - hold again for 20-30 seconds and repeat twice each side.  (*See related exercises)","401, 402"
69,Quadratus lumborum (ball),Lower back stretch on ball,Stretch / Swiss ball,I,Lower back pain / stiffness,Swiss Ball,30 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Reach your left arm over the top of your head and with your other hand hold onto your left wrist to increase the stretch by pulling over to the right. 4) At the same time using your hips on the ball push to the right - creating a banana like shape - you should feel the stretch in the side of you lower back. 5) Hold for 20-30 seconds and repeat twice each side.  (*See related exercises)","401, 402"
70,Thoracic self massage,Spiky ball massage for upper back,Mobilisation / Spiky Ball,B,Upper back tightness / strain,Spiky Ball,20 seconds,1) Stand up against a wall and place the spiky ball just to the right of your spine at the level of the lowest border of your scapula (shoulder blade). 2) Bend your knees and lean into the ball while activating your core* 3) Roll the ball up and down by bending and straightening your knees. 4) If you find a tight area you can lean in further to increase the pressure and even gently roll the ball side to side in that area which will help to give a local stretch to the muscles.  (*See related exercises),"401, 402"
71,Long cat stretch - shoulder stabilisation muscles,Ribcage side stretch,Stretch,I,Upper back tightness / strain,Nil,2 minutes,"1) Start on all fours, activate core*, neutral spine* 2) Place your right hand directly in front of you left hand without allowing your pelvis to move. 3) Then move your right hand out in front of your left (in the same line) until you feel a stretch down the side of your ribcage. 4) Hold for 10-15 seconds. 5) Repeat other side and then do 3-4 times each side.  (*See related exercises)","401, 402"
72,Serratus anterior,Ribcage side stretch 2,Stretch,I,Upper back tightness / strain,Nil,45 seconds,"1) Start on all fours, activate core*, neutral spine*. 2) Bend at your elbows slightly, draw your shoulders down the back of your ribcage and keep your head facing to the floor (in line with your spine). 3) Gently squeeze your bent elbows together. 4) Hold for 5-10 seconds. 5) Repeat 3-4 times. (*See 'related exercises)","401, 402"
73,Cat Stretch,Spinal mobility cat exercise,Mobilisation,B,Upper back stiffness,Nil,90 seconds,"1) Start on all fours, activate core*, neutral spine*, have your hands directly under your shoulders and knees directly under hips. 2) Breathe in and pull the middle of your back up to the ceiling and pull your tummy in, dropping your head and feeling a convexity through your back and a stretch through your spine. 3) Breathe out and draw your belly button to the floor and looking up feeling a concavity through your back. 4) Repeat 6-10 times slowly and controlled.  (*See related exercises)","401, 402"

Overlapping exercises,,,,,,,,
1,Trapezius Stretch,Neck (traps) stretch,Stretch,B,"Neck pain, postural strain, desk work",Swiss Ball,30 seconds,To stretch your right upper trapezius (base of your neck/top of your shoulder): 1) Start seated and place your right hand palm up under your buttock (this will help to keep your shoulder anchored down) 2) Bring your left arm over the top of your head placing your hand on the side of your head. 3) Pull your head gently down to the left (left ear to left shoulder) - you should feel a gentle stretch up the right side of your neck 4) Make sure your head is facing directly forward and you are not rotating your head i.e.. chin sticking out. 4) Hold the stretch for 20-30 seconds and repeat twice each side.,
5,Cervical Erector Spinae Stretch,Neck stretch for back spinal muscles,Stretch,B,"Neck pain, postural strain, headaches",,30 seconds,1) Interlace your fingers behind your head so they are resting on the very base of your skull (not on your neck). 2) Tuck your chin into your neck and gently roll your head down just so you are looking towards the floor. 3) You should feel a comfortable stretch up the back of the neck. 4) Hold for 20-30 seconds and repeat twice (with a 10-20 second break),
7,Pectoralis Major Stretch,Pec stretch (front of shoulder),Stretch,B,"Postural strain, rounded shoulders, desk work",,30 seconds,"To stretch your left pectoralis major (front of your shoulder): 1) Stand perpendicular to a wall, about 2 feet away with your left side closest to the wall. 2) Place your left hand up on the wall so your elbow is bent and is slightly above shoulder height. 3) Turn your body around to the right keeping your left arm as it is. 4) You should feel a stretch through the front of your left shoulder and chest. 5) Hold for 20-30 seconds and repeat both sides twice",
8,Pectoralis Minor Stretch,Pec stretch 2 (front of shoulder),Stretch,B,"Postural strain, rounded shoulders, desk work",,30 seconds,"To stretch your left pectoralis minor (front of your shoulder): 1) Stand perpendicular to a wall, about 2 feet away with your left side closest to the wall. 2) Place your left hand up on the wall so your elbow is bent and is slightly above shoulder height, 3) Turn your body around to your right and bend your knees slightly keeping your left arm as it is. 4) You should feel a stretch through the front of your shoulder and chest. 5) Hold for 20-30 seconds. 6) Repeat twice each side.",
10,Spinal roll downs,Roll downs against wall,Mobilisation,I,"Stiffness in the spine, asymmetry in the spine and ribcage",,2 minutes,"1) Standing against a wall with knees slightly flexed and arms relaxed by your sides. 2) Start with a neutral spine*, take a breath in, tuck your chin in and as you breathe out slowly start to roll down vertebra by vertebra from your neck through to your upper back and then lower back (your hands should dangle to just past your knees). 3) Breathe in at the bottom, breathe out and slowly roll back up vertebra by vertebra again (imagine your spine as a chain of links). 4) Repeat about 3-5 times.  (*See 'neutral spine and core' under programs)",
109,Prone alternating leg raise,Leg extension lying on a ball,Strength / Swiss ball,I,"Core weakness, lower back weakness",Swiss ball,90 seconds,"1) Lying on a Swiss ball with your abdomen on the ball with hands directly under shoulders, head in line with spine, toes contacting floor. 2) Activate core and stabilise through pelvis, trying not to let your lower back dip. 3) Breathe in and as you breathe out raise one leg, return down as you breathe in. 4) Repeat other side. 5) Repeat 6-8 times each side",
110,Prone opposite arm and leg raise,Opposite arm ad leg raise on a ball,Strength / Swiss ball,I,"Core weakness, lower back weakness",Swiss ball,90 seconds,"1) Lying on a Swiss ball with your abdomen on the ball with hands directly under shoulders, head in line with spine, toes contacting floor. 2) Activate core and stabilise through pelvis. 3) Breathe in and as you breathe out raise one leg and opposite arm simultaneously without arching your lower back. 4) Breathe out as you return and repeat the other side. 5) Repeat 6-8 times both sides.",
166,Shoulder rolls,Shoulder rolls,Mobilisation,B,"Shoulder tightness, rounded shoulders, desk work, poor posture",Nil,30 seconds,"1) Standing, take a breath in and then out. 2) As you breathe in again roll your shoulders forward and up. 3) As you breathe out roll your shoulders back and down. 4) Repeat 5 times.",
167,Pectoral stretch,Pectoral stretch (front of shoulder),Stretch / Foam Roller,B,"Shoulder tightness, rounded shoulders, desk work, poor posture",Foam roller,30 seconds,To stretch your left pectoral muscles: 1) Start on all fours with the foam roller to the left of you. 2) Place your left forearm on the foam roller. 3) Slowly lower your left shoulder and rotate your upper body to the right until you feel a stretch through the front of your left shoulder. 4) Hold for 20-30 seconds and repeat twice each side.,
168,Latissimus dorsi stretch ,Side of shoulder and back stretch,Stretch / Foam Roller,I,"Tight thoracic and lower back, tight shoulders",Foam roller,60 seconds,"To stretch your left latissimus dorsi: 1) Lie on your left side with the foam roller under the left shoulder blade and your left arm out straight. 2) Bend up you right knee with right foot planted on the ground and have your left leg out straight, taking the weight on your right leg. 3) Roll the foam roller under your lat muscle by bending your straight left leg in and then out. 4) You should feel a stretch / pressure under your shoulder blade/down the side of your back. 5) Repeat 5-8 times both side. ",
178,Latissimus dorsi stretch door frame ,Lat stretch (side of back and shoulder) standing,Stretch,B,"Tight thoracic and lower back, tight shoulders",,30 seconds,To stretch your right latissimus: 1) Stand side on to a door frame with your left side closest to the frame. 2) Step slightly away from the frame so that when your left arm is bent it can hold onto the frame at hip height. 3) Bring your right arm over the top of your head and hold onto the frame. 4) Push your hips away from the door frame until you feel a good stretch up the right side of your body. 5) Hold for 20-30 seconds and repeat twice each side.,
179,Teres major on chair,Rotator cuff seated,Stretch,B,"Teres major tendinitis, tight shoulder capsule",,30 seconds,Facing a chair which is supported against a wall (don't do with lower back injury): 1) Bend slowly forward and hold the chair back with your hands so that your arms are out straight. 2) Push gently down with you torso until you feel a stretch up the sides of your shoulder blades. 3) Hold for 20-30 seconds.,
180,Teres major against wall,Rotator cuff against wall,Stretch,I,"Teres major tendinitis, tight shoulder capsule",,30 seconds,"Arms length away from wall (don't do with lower back injury): 1) Bend slowly at your hips, with core activated. 2) Place hands up against the wall and push gently down with you torso until you feel a stretch up the sides of your shoulder blades. 3) Hold for 20-30 seconds.",
