Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Ankle strengthening - 1,Ankle strengthening - 1,Proprioception,B,Post ankle / leg injury,Against wall,90 seconds,"1) Stand in front of a wall, hands on the wall for support, feet apart. 2) Take most of your body weight on the good leg. 3) Slowly rise up on your toes, hold for 5 seconds, relax down slowly. 4) Repeat 10 - 15 times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hamstring stretch,Hamstring (back of thigh) stretch using foam roller,Proprioception,B,Post ankle / leg injury,Against wall,90 seconds,"1) Stand in front of a wall, hands on the wall for support, feet apart. 2) Take most of your body weight on the good leg. 3) Carefully rock back on your heels and lift up your toes. 4) Hold for 5 seconds. Relax down slowly. 5) Repeat 10 - 15 times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,ITB stretch (ilio-tibial band),ITB (outer thigh) stretch,Proprioception,B,"Post ankle / leg injury, stimulate proprioception",Nil,60 seconds,"1) Stand on one leg, lifting the other leg up, and hold for up to a minute (as long as you can without losing balance). 2) Repeat 3 times. 3) When this becomes easy you can increase the challenge by closing your eyes and repeating the same exercise. 4) Increasing difficulty again, coming up onto tip toes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Dorsi flexion,Seated ankle strength,Strength,I,Post ankle / leg injury,Chair,90 seconds,"1) Sit on a chair, put your foot flat on the ground. 2) Keep your heel on the ground but lift the front of your foot up off the ground. 3) Hold for 5 seconds then relax the foot down slowly. 4) Repeat 10-15 times. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Toe walking / Heel walking,Toes walking / Heel Walking,Strength / proprioception,B,"Leg and ankle strength, post leg / ankle injury, flattened feet",Nil,60 seconds,"1) Using a corridor inside or grass outside of approximately 20m or so, barefoot. 2) Start by walking on the balls of your feet (tippy toes) one way and then walk back on your heels. 3) Repeat this 3-5 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Beach walking,Beach walking,Proprioception,B,To stimulate proprioception / neural connections between the feet and brain,Nil,10 minutes,1) Walk on the beach barefoot! Very good for your proprioception and nerve endings in your feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Short foot exercises,Sole of foot muscle strengthening,Strength / proprioception,I,Flattened feet (over pronated),Piece of A4 paper,60 seconds,"1) Place a piece of A4 paper on the floor. 2) Place your bare foot in the centre of the piece of paper. 3) The aim is to scrunch the piece of paper in the area of the arch of your foot without scrunching the toes. 4) You are using the short foot muscles in your feet, and lifting the arch as you do this - it takes practise.  5) Repeat 10 times each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Single leg squat ,Sole of foot (plantar fascia) self massage,Stretch,B,"Foot tightness, walkers, runners",Spiky ball,60 seconds,1) Standing holding onto a sturdy table for support if needed. 2) Place the spiky ball under the arch of your foot and roll the ball back and forth increasing the pressure as able to tolerate. 3) Roll the ball for about 20-30 seconds each foot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Step ups ,Sole of foot (plantar fascia) stretch,Stretch,B,"Foot tightness, walkers, runners",Against wall,30 seconds,"1) Standing with one foot up against a wall so that your toes and contacting the wall and your heel is on the ground. 2) Push your toes into the wall and your heel slightly away, you should feel a stretch in the sole of your foot. 3) Hold for 20-30 seconds. 4) Repeat other foot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Tibialis anterior eccentric strength,Strength for ankle flexion,Strength / Resistance Band,I,"Runners, walkers, hikers starting out or increasing distances","Table, chair, resistance band",60 seconds,"1) Tie one end of the resistance band to a table leg. 2) Sit on a chair and wrap the other end around your forefoot with leg out straight, making sure there is good resistance with your toes pointing towards the table. 3) Move your toes up towards the ceiling, and then point towards the table. 4) Repeat 10-15 times. 5) Repeat other leg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Calf raises bilateral,Calf strength (both legs),Strength,I,"Runners, walkers",Step,45 seconds,"1) Stand on the edge of a step, slowly lower heels slightly below step and then come up onto tip toes. 2) Repeat 10-15 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Quadriceps lying down,Quads (front thigh muscles) strengthening,Strength,I,"Runners, walkers more advanced",Step,45 seconds,"1) Stand on the edge of a step with one foot with the other foot lifted off the step or ledge, knee flexed (hold onto a wall for support). 2) Slowly lower foot slightly below step and then come up onto tip toes. 2) Repeat 10-15 times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Epsom salt foot baths,Epsom salt foot baths,Stretch,B,"Runners, walkers, aching feet ",Foot bath ,30 minutes,1) Place 1-2 cups of epsom salts into a warm foot bath (bucket). 2) Soak feet for at least 20 minutes - ideally 30-40 minutes. 3) Helps with muscle tension and aching feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Posterior tibial neural glide,Neural stretch leg,Stretch,I,Neural tension in legs,Towel / strong resistance band / or strap,60 seconds,1) Lie on your back with your right hip and knee flexed to 90 degrees and a towel wrapped around your foot holding onto both ends with your hands. 2) Straighten up your right leg and at the same time turn the sole of your foot to the right (everting). 3) Then bend your leg back to 90 degrees at hip and knee. 4) Repeat 10 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373a,Neural stretch hip,Neural stretch hip,Stretch,I,Neural tension in legs,Towel / strong resistance band / or strap,60 seconds,1) Lie on your back with your right hip and knee flexed to 90 degrees and a towel wrapped around your foot holding onto both ends with your hands. 2) Take your right foot over to your left shoulder with a slight bend in the knee. 3) Straighten up your right leg and then bend at the knee. 4) You should feel a stretch when the leg is straight and then an ease when you bend the knee. 5) Repeat the bending and straightening 10 times. 6) Slowly bring the leg back down. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Gastrocnemius standing,Calf stretch / lower leg standing,Stretch,B,"Calf tightness, knee pain, runners, walkers, most sports",Against wall,30 seconds,"1) Stand in front of a wall with both hands resting at shoulder level on the wall. 2) Place your left leg in front taking most of your body weight on this leg. 3) Place the right leg stretched far out behind you keeping the knee straight and only putting the ball of the foot on the ground. 4) Slowly bend the left knee and move your pelvis forward towards the wall. 5) Keeping the right knee straight gently push the right heel downwards until you feel a mild stretch high up in the calf. 6) Hold for 20-30 seconds, repeat x2 each side
You can vary this stretch by rotating the heel out to the left of the toes 
and also to the right of the toes to feel the stretch in the outer and inner muscle fibres.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Soleus standing,Calf stretch / lower leg (deeper muscles),Stretch,B,"Calf tightness, knee pain, runners, walkers, most sports",Against wall,30 seconds,"1) Stand in front of a wall with both hands resting at shoulder level on the wall. 2) Place your right leg in front taking most of your body weight on this leg. 3) Place the left leg stretched far out behind you keeping the knee straight and only putting the ball of the foot on the ground. 4) Slowly bend the right knee and move your pelvis forward towards the wall. 5) Bend the left knee until you feel a stretch lower down in the calf (heel can lift off the ground) . 6) Hold for 20-30 seconds, repeat x2 each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Calf stretch,Calf (lower leg) stretch using foam roller,Stretch / Foam roller,I,"Tight calves, runners, walkers",Foam roller,60 seconds,"1) Sitting with the foam roller under both your calves. 2) Using both arms stabilising behind you on the ground, lift your hips up increasing the weight / pressure through the calves. 3) Using your arm and shoulder strength roll your calves up and down the foam roller. 4) Repeat 10-15 times or until the tenderness or tightness starts to reduce (30-60 seconds).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Beach walking,Calf raises using a Swiss Ball,Strength / Swiss ball,B,"To strengthen the calves, walkers, runners",Swiss Ball,90 seconds,1) Standing against a wall with the Swiss ball behind your back and leaning back slightly into the ball. 2) Draw your shoulders down and engage your core*. 3) Lift up onto both tippy toes and then slowly lower back down. 4) Repeat 10-15 times. 5) Rest for 30 seconds and repeat. (*See 'related exercises),"401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Calf stretch on the floor,Calf stretch on the floor,Stretch,B,"Tight calves, runners, walkers",Nil,90 seconds,"1) Come onto all fours on the ground with hands flat on the floor under your shoulders. 2) Straighten both legs so that they are straight out behind you. 2) Bend one knee in at the same time pushing the other foot flat to the ground increasing and feeling the stretch in that leg. 3) Hold for 20-30 seconds. 4) Repeat the for the other leg. 5) Then slowly repeat the action of flexing (bending) one knee, then the other in a pedal like motion for 10-15 repetitions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
